High,Low,Volume
28.750079,27.00,3726400
29.62512,28.50,2224000
30.00,28.750079,2491200
29.500079,27.499921,2918400
28.000079,27.00,2563200
29.124959,27.75,4048000
30.37488,28.999921,4257600
30.499921,29.749921,2448000
30.499921,29.749921,3390400
30.75,29.749921,2200000
31.000079,29.500079,4003200
31.50,30.00,2747200
31.750079,30.499921,5875200
30.75,29.749921,4032000
30.75,29.124959,6288000
30.75,29.749921,5569600
32.500079,29.375041,8214400
32.500079,31.249921,6116800
33.250079,31.50,9731200
31.750079,30.00,4881600
31.50,29.500079,5003200
31.999921,30.499921,5928000
32.25,31.249921,7561600
32.25,28.999921,19478400
29.124959,27.75,7795200
28.999921,28.000079,4297600
28.999921,27.499921,8041600
30.75,28.750079,12913600
30.125041,28.000079,27268800
28.249921,24.75,42816000
32.25,28.000079,48016000
36.00,30.00,79219200
43.000079,24.499921,408720000
