High,Low,Volume
149.75,142.562485,17183600
153.50,147.25,20174400
160.50,152.375,23626800
159.062485,153.50,25081200
159.50,149.875,46909600
153.50,146.875,42162000
145.312485,138.50,20089600
143.50,138.00,31132400
149.50,143.00,41488000
139.50,135.25,29511600
135.375,130.75,20766000
134.00,129.75,24487600
133.25,126.562477,31806800
131.625,122.562477,47123600
128.75,116.00,59756000
128.875,120.015602,30964400
136.00,125.75,58423200
129.625,110.00,93246000
127.75,119.75,45760800
134.437515,122.875,60916800
139.75,132.00,24568000
140.50,133.50,25167200
140.00,134.00,42611200
143.218719,131.50,46910800
140.50,131.062485,39426000
143.875,132.00,41694400
148.125,143.562485,19178800
151.50,143.062485,39331200
152.50,142.25,32751200
150.50,141.75,24332400
152.50,147.50,25438400
155.50,149.875,20528000
161.75,153.00,24413600
161.50,156.875,36978400
158.00,145.00,47375200
159.75,150.00,47432400
167.00,159.00,28462000
175.25,162.00,67836800
174.00,165.00,67031200
189.25,172.50,62996800
178.875,172.50,29583200
179.875,171.812485,46766800
178.375,157.812485,59339600
164.312485,153.00,45476000
156.50,147.562485,38500400
153.875,145.00,21633200
155.687515,147.00,28072800
156.50,146.25,42335200
166.125,150.50,50848000
160.50,148.00,50007600
145.50,140.50,17448800
149.937515,137.25,48852400
143.50,125.187523,59128800
129.625,117.625,49996000
134.875,118.00,50811600
146.50,134.25,25944000
147.875,140.75,20716000
149.187515,143.062485,23841200
153.50,142.531204,27203600
157.75,144.25,36826000
147.75,134.00,36142000
144.50,133.50,30196000
149.00,130.125,45042400
150.00,135.062485,31400400
148.25,131.50,28661200
141.625,132.875,30726800
141.25,120.50,52978400
141.125,126.625,37816800
150.25,135.875,30008400
153.312485,148.75,14906400
159.125,151.00,10570000
161.125,155.25,16702000
161.50,155.312485,18851600
162.75,150.062485,26168000
161.75,153.00,23758400
173.50,159.875,18511600
173.50,164.875,22728400
175.312485,160.875,42985600
156.812485,147.50,25932800
157.50,145.00,27588800
162.50,150.00,23365200
162.125,148.875,39324000
170.25,158.00,25120000
173.25,161.00,20424000
182.00,168.00,14938800
175.50,164.625,25935200
184.937515,171.00,18786800
197.562485,181.50,20129200
194.50,187.25,13915600
192.125,180.50,19913600
185.00,175.437515,25307200
180.00,170.00,24596400
174.00,155.00,42084400
191.00,161.25,42021200
197.00,185.062485,23426400
200.062485,172.00,45416800
208.00,189.50,25956800
216.375,202.00,29236400
206.062485,192.875,39976800
211.00,202.00,24151600
217.00,196.937515,56466800
231.00,203.00,69661600
244.00,210.00,100101200
221.00,185.00,82058000
181.00,168.00,40504800
181.50,168.00,32183600
185.875,172.125,38020000
178.75,171.75,15764000
177.25,170.00,23164800
179.25,165.00,32558000
160.50,147.125,22805600
164.00,155.187515,20626000
178.00,164.625,16258800
178.25,169.75,13999600
176.00,169.875,13022800
174.25,170.00,11562800
180.50,174.75,12136000
179.687515,172.75,13907200
179.125,171.00,18828400
183.375,176.062485,34746000
174.50,169.00,22300000
173.00,163.75,25655600
173.187515,160.00,36341600
162.00,156.00,32062800
158.00,146.125,23268000
157.375,148.625,25215200
165.00,152.875,29651200
165.00,149.125,39223200
158.375,150.00,29360000
155.50,144.50,32932400
160.50,149.50,35772800
157.25,148.00,45360800
150.00,131.875,33567600
137.437515,130.00,33774000
134.50,124.00,35252000
139.25,125.50,38656400
156.00,131.937515,58302000
155.00,148.00,24872000
159.00,145.50,32700800
148.625,128.937515,47980400
157.875,139.00,41688400
173.50,154.625,38321600
353.00,335.00,49096000
359.00,335.00,48534400
360.00,323.124969,45029600
338.00,308.624969,49295200
359.00,333.00,39826400
365.00,345.00,33787200
369.00,335.00,52440000
381.187531,330.00,54030400
352.124969,319.00,66213600
313.00,285.00,49068800
291.00,253.00,73045600
280.00,249.375046,89164000
330.75,285.00,43305600
345.00,317.937531,34664800
354.50,304.00,83922400
386.00,343.00,56675200
406.00,332.00,97093600
443.00,370.00,104092000
445.00,363.50,80186400
357.375031,330.00,61498400
325.75,283.00,77141600
299.00,267.00,71474400
261.00,239.687515,43924800
252.00,240.00,33860000
255.00,232.00,37516800
271.375031,241.00,59023200
275.375031,263.375031,41398400
286.00,250.00,60430400
251.00,244.00,9348800
253.375046,245.50,29891200
253.875046,233.00,63622400
250.875046,218.00,68780000
215.124954,207.25,37685600
213.50,199.50,54028800
210.50,201.25,55996800
198.375046,193.50,32498400
196.875046,189.562485,40104000
197.75,190.75,42621600
202.00,188.624954,47940800
206.50,194.062485,63276000
200.00,187.375046,50747200
194.00,186.624954,30444000
192.875046,180.00,73370400
202.75,182.624954,67581600
206.375046,195.00,63236800
207.375046,182.00,98687200
217.624954,191.50,56202400
217.25,211.75,16614400
216.00,203.25,56652000
227.75,203.00,132245600
222.00,191.00,92021600
193.124954,181.50,74551200
198.375046,184.50,83217600
190.25,178.437515,80068000
181.50,168.25,65894400
175.00,167.75,47338400
177.687515,164.50,59292800
175.375046,163.25,76820000
181.875046,164.00,96396800
185.624954,168.375046,104089600
165.375046,153.875046,73947200
154.312485,151.00,39160800
154.062485,149.812485,82464800
151.50,145.50,75329600
149.00,141.062485,88573600
145.75,131.75,82252800
133.124954,129.25,39603200
131.25,126.00,41452000
128.00,121.00,42363200
132.124954,123.50,47267200
128.00,123.25,40869600
124.00,120.50,28093600
124.25,117.25,60401600
119.875038,115.656158,35041600
121.124962,115.375038,48166400
119.25,113.50,42296000
122.00,115.124962,54677600
120.124962,110.25,71287200
116.50,108.50,59580000
114.375038,109.624962,51824000
118.00,108.687523,103243200
110.00,102.00,74280000
108.50,97.50,172985600
123.00,110.50,137588800
132.124954,121.75,123448000
129.562485,117.062477,130274400
127.50,113.75,135588000
126.375038,112.687523,122895200
132.187515,124.75,83716800
134.624954,124.75,87640800
129.50,121.812477,85004800
121.25,111.25,80061600
125.375038,112.75,119551200
118.00,104.50,121677600
105.00,98.00,88165600
97.00,86.812477,61918400
92.375038,89.875038,40134400
93.75,89.312477,103429600
93.75,85.00,97708000
84.50,82.00,33928800
84.875038,81.624962,35400800
81.875038,76.75,45369600
80.50,73.00,61207200
85.812477,79.75,38174400
85.00,79.124962,54988000
78.124962,72.50,33694400
77.875038,71.50,63705600
83.937523,74.624962,78278400
76.50,59.00,96534400
84.124962,66.50,77024800
92.375038,81.75,62074400
95.00,90.75,39107200
96.937523,94.124962,22042400
99.25,95.75,19356800
98.00,95.624962,21888000
97.375038,93.25,30939200
97.875038,94.75,23878400
100.00,94.875038,33248000
98.00,92.624962,42212800
92.50,90.00,20256800
94.375038,90.00,25372000
96.75,92.624962,26801600
96.312477,93.00,42176000
94.25,88.375038,50840800
94.00,88.75,34913600
93.25,87.312477,51663200
88.375038,81.187523,36946400
87.75,79.00,54120000
89.75,85.00,42092800
90.50,86.124962,34780000
185.00,178.50,63755200
185.375046,170.50,96512000
186.624954,173.249924,66641600
