Date,High,Low,Volume
2015-02-23,384.540009,378.00,2177000
2015-02-20,383.700012,375.839996,3258000
2015-02-19,381.880005,373.429993,2953800
2015-02-18,376.73999,372.850006,2650600
2015-02-17,379.98999,372.670013,3673200
2015-02-13,383.00,377.01001,3475100
2015-02-12,378.51001,373.149994,2791100
2015-02-11,377.100006,371.100006,2786500
2015-02-10,374.299988,368.51001,2287200
2015-02-09,374.410004,367.200012,2724600
2015-02-06,375.98999,371.01001,3871300
2015-02-05,378.799988,365.899994,7247600
2015-02-04,367.50,358.230011,4169900
2015-02-03,367.820007,360.209991,6212600
2015-02-02,365.00,350.01001,10231900
2015-01-30,359.50,340.73999,23856100
2015-01-29,312.799988,299.329987,8656600
2015-01-28,311.51001,303.799988,3063800
2015-01-27,310.23999,302.630005,2920300
2015-01-26,313.00,307.519989,3169700
2015-01-23,316.929993,307.720001,4496400
2015-01-22,312.25,300.00,5362600
2015-01-21,306.00,287.26001,10065100
2015-01-20,293.359985,286.390015,3075100
2015-01-16,290.790009,285.25,3478200
2015-01-15,296.00,286.820007,4410200
2015-01-14,295.910004,286.50,5538700
2015-01-13,301.50,293.230011,4130900
2015-01-12,298.51001,289.279999,3421400
2015-01-09,302.869995,296.679993,2589500
2015-01-08,303.140015,296.109985,3088400
2015-01-07,301.279999,295.329987,2640300
2015-01-06,303.00,292.380005,3519000
2015-01-05,308.380005,300.850006,2774200
2015-01-02,314.75,306.959991,2783200
2014-12-31,312.980011,310.01001,2048000
2014-12-30,313.940002,309.339996,2093000
2014-12-29,314.269989,306.579987,3009000
2014-12-26,310.779999,303.809998,2887500
2014-12-24,307.00,302.880005,1513800
2014-12-23,307.48999,303.25,2713700
2014-12-22,307.359985,301.940002,4003800
2014-12-19,301.540009,295.519989,8709100
2014-12-18,304.50,293.25,7738100
2014-12-17,299.670013,293.029999,4433500
2014-12-16,304.48999,295.01001,6501300
2014-12-15,310.859985,302.149994,3841600
2014-12-12,310.640015,303.01001,3153500
2014-12-11,312.640015,306.01001,3262900
2014-12-10,313.190002,304.679993,3245900
2014-12-09,313.640015,301.140015,4049500
2014-12-08,316.559998,304.820007,3639200
2014-12-05,316.929993,310.839996,3265200
2014-12-04,318.589996,313.470001,3290300
2014-12-03,326.769989,314.359985,5681000
2014-12-02,327.929993,323.25,2783500
2014-12-01,340.640015,325.929993,4944900
2014-11-28,341.26001,336.029999,3051800
2014-11-26,334.649994,331.75,1983600
2014-11-25,336.329987,331.279999,2561200
2014-11-24,337.390015,333.600006,2753700
2014-11-21,338.329987,331.470001,4466000
2014-11-20,332.670013,323.329987,3435000
2014-11-19,328.399994,324.019989,3280800
2014-11-18,329.559998,323.25,3549500
2014-11-17,328.00,318.029999,4784600
2014-11-14,332.880005,316.399994,8876300
2014-11-13,317.890015,311.51001,3685700
2014-11-12,312.579987,308.790009,2181700
2014-11-11,312.380005,303.649994,3803600
2014-11-10,305.799988,300.00,2809100
2014-11-07,299.98999,296.290009,2647400
2014-11-06,297.00,292.290009,3758100
2014-11-05,304.00,294.160004,4674500
2014-11-04,304.25,300.170013,3427400
2014-11-03,308.01001,303.23999,3242500
2014-10-31,305.720001,301.50,4550700
2014-10-30,299.73999,292.359985,4048200
2014-10-29,299.609985,293.070007,4881900
2014-10-28,298.00,289.76001,5572600
2014-10-27,290.420013,285.019989,5950600
2014-10-24,293.809998,284.00,19801100
2014-10-23,316.799988,311.399994,9038200
2014-10-22,318.980011,312.640015,3125900
2014-10-21,315.640015,307.070007,3559300
2014-10-20,306.529999,302.019989,3234500
2014-10-17,309.200012,302.720001,4405100
2014-10-16,306.820007,293.829987,4731300
2014-10-15,307.899994,299.100006,5343900
2014-10-14,312.23999,305.75,3385800
2014-10-13,313.200012,303.470001,4363900
2014-10-10,317.769989,311.380005,3681900
2014-10-09,322.269989,314.519989,3587900
2014-10-08,324.109985,314.140015,3452800
2014-10-07,322.00,316.670013,2365400
2014-10-06,324.130005,319.600006,2290300
2014-10-03,325.160004,319.529999,3037400
2014-10-02,318.529999,311.309998,3553900
2014-10-01,322.170013,315.549988,3089100
2014-09-30,323.429993,318.51001,2636200
2014-09-29,323.75,319.00,1924600
2014-09-26,323.50,317.640015,3638000
2014-09-25,328.540009,321.399994,2928800
2014-09-24,329.440002,319.559998,2642200
2014-09-23,327.600006,321.25,2352600
2014-09-22,329.48999,321.059998,3109700
2014-09-19,332.76001,325.570007,6886200
2014-09-18,327.100006,323.709991,2576900
2014-09-17,328.00,321.519989,4136000
2014-09-16,329.480011,320.100006,3259900
2014-09-15,331.329987,319.00,4000400
2014-09-12,332.890015,328.790009,3429300
2014-09-11,333.01001,326.390015,2720200
2014-09-10,334.980011,328.820007,3797400
2014-09-09,341.76001,329.179993,4646800
2014-09-08,345.809998,339.040009,2955300
2014-09-05,346.829987,342.50,2107000
2014-09-04,349.380005,343.579987,3965600
2014-09-03,343.269989,337.549988,1993700
2014-09-02,342.50,337.160004,2326000
2014-08-29,341.820007,337.679993,1939500
2014-08-28,341.790009,338.799988,2252700
2014-08-27,346.670013,341.339996,2961600
2014-08-26,344.359985,334.549988,3654700
2014-08-25,336.769989,332.709991,1957700
2014-08-22,334.079987,330.799988,2211200
2014-08-21,336.579987,332.230011,1971100
2014-08-20,337.160004,334.019989,1810500
2014-08-19,335.809998,333.01001,1713800
2014-08-18,337.799988,333.769989,2485400
2014-08-15,335.00,328.320007,3896700
2014-08-14,334.089996,326.709991,3420400
2014-08-13,331.720001,326.140015,4945100
2014-08-12,321.309998,316.950012,1915800
2014-08-11,320.380005,316.880005,2468600
2014-08-08,317.320007,310.660004,2705900
2014-08-07,315.880005,309.649994,2935600
2014-08-06,315.779999,310.200012,2296900
2014-08-05,314.549988,310.059998,2852100
2014-08-04,316.179993,308.50,4200900
2014-08-01,315.829987,304.589996,7441500
2014-07-31,320.679993,311.859985,5192000
2014-07-30,322.730011,318.50,3969000
2014-07-29,322.899994,319.50,2883800
2014-07-28,324.820007,316.50,5932000
2014-07-25,324.869995,314.76001,17846500
2014-07-24,364.850006,358.519989,7088700
2014-07-23,360.630005,356.619995,2687300
2014-07-22,362.929993,355.25,2888900
2014-07-21,361.709991,356.720001,2278400
2014-07-18,359.679993,352.079987,3407400
2014-07-17,356.959991,351.380005,3636000
2014-07-16,359.320007,353.00,3503600
2014-07-15,355.589996,349.399994,4170900
2014-07-14,355.769989,345.359985,5609900
2014-07-11,347.00,334.709991,8300800
2014-07-10,329.980011,322.649994,2665000
2014-07-09,330.200012,323.149994,3166100
2014-07-08,333.73999,321.399994,4271600
2014-07-07,337.549988,332.519989,2128900
2014-07-03,338.299988,333.079987,1944300
2014-07-02,336.76001,331.660004,2681300
2014-07-01,333.200012,325.100006,3173600
2014-06-30,326.980011,322.23999,2671300
2014-06-27,326.519989,323.269989,2416200
2014-06-26,328.649994,322.130005,2699500
2014-06-25,328.149994,321.73999,2327800
2014-06-24,329.730011,322.73999,2626600
2014-06-23,327.549988,321.410004,2604800
2014-06-20,328.220001,320.420013,6054000
2014-06-19,338.899994,325.980011,5320600
2014-06-18,335.75,325.00,6401500
2014-06-17,331.339996,325.230011,2924100
2014-06-16,328.690002,323.519989,2449800
2014-06-13,329.299988,323.529999,2764800
2014-06-12,335.549988,324.660004,4276300
2014-06-11,340.720001,333.880005,4436800
2014-06-10,335.50,327.50,3663400
2014-06-09,333.00,325.649994,3212200
2014-06-06,330.880005,324.929993,5244000
2014-06-05,327.940002,306.899994,7796700
2014-06-04,309.50,303.839996,2107100
2014-06-03,307.920013,305.070007,2379200
2014-06-02,312.600006,307.00,2203400
2014-05-30,314.649994,307.570007,4260200
2014-05-29,314.869995,310.200012,2365500
2014-05-28,313.820007,307.420013,2726000
2014-05-27,314.630005,307.380005,4862100
2014-05-23,312.350006,304.899994,3052900
2014-05-22,308.540009,303.01001,2576800
2014-05-21,305.959991,301.519989,3408800
2014-05-20,304.459991,296.75,4095700
2014-05-19,299.00,293.809998,2284200
2014-05-16,298.880005,291.549988,3636800
2014-05-15,299.200012,290.380005,4295100
2014-05-14,304.640015,296.660004,3323300
2014-05-13,305.600006,300.75,3509900
2014-05-12,303.339996,294.160004,3729600
2014-05-09,293.679993,284.380005,4063000
2014-05-08,295.880005,287.230011,3848200
2014-05-07,296.399994,286.679993,7015200
2014-05-06,309.809998,297.040009,4682300
